raceA,raceB,budget,first_mode,winrateA,avg_aliveA,avg_aliveB,avg_remHpA,avg_remHpB,avg_turns,sims_run
Ertrian,Sentus,2000,A,0.4166666666666667,0.8333333333333334,0.9,276.6666666666667,756.6666666666666,6.783333333333333,60
Ertrian,Sentus,2000,B,0.3,0.48333333333333334,1.5166666666666666,220.0,968.0,6.983333333333333,60
Ertrian,Sentus,2000,alternate,0.4666666666666667,0.8333333333333334,0.9833333333333333,325.8333333333333,843.3333333333334,6.766666666666667,60
Ertrian,Virix,2000,A,0.6,1.4333333333333333,1.3,410.0,465.5,9.116666666666667,60
Ertrian,Virix,2000,B,0.43333333333333335,0.95,1.55,286.6666666666667,575.6666666666666,10.583333333333334,60
Ertrian,Virix,2000,alternate,0.5166666666666667,1.1666666666666667,1.05,353.3333333333333,440.0,6.866666666666666,60
Sentus,Ertrian,2000,A,0.7666666666666667,1.7333333333333334,0.2833333333333333,1084.0,125.0,6.2,60
Sentus,Ertrian,2000,B,0.4166666666666667,0.55,1.0,520.0,367.5,7.983333333333333,60
Sentus,Ertrian,2000,alternate,0.75,1.3833333333333333,0.45,1039.5,195.83333333333334,7.316666666666666,60
Sentus,Virix,2000,A,0.5333333333333333,1.5,1.4333333333333333,816.6666666666666,476.6666666666667,14.466666666666667,60
Sentus,Virix,2000,B,0.3,1.05,1.9666666666666666,600.0,731.6666666666666,13.466666666666667,60
Sentus,Virix,2000,alternate,0.38333333333333336,1.25,1.85,600.0,615.8333333333334,13.033333333333333,60
Virix,Ertrian,2000,A,0.55,1.8166666666666667,1.0666666666666667,544.6666666666666,283.3333333333333,9.1,60
Virix,Ertrian,2000,B,0.5666666666666667,1.4166666666666667,1.3,583.8333333333334,393.3333333333333,8.8,60
Virix,Ertrian,2000,alternate,0.55,1.7,1.15,540.6666666666666,350.0,10.233333333333333,60
Virix,Sentus,2000,A,0.6333333333333333,1.9,1.1666666666666667,666.6666666666666,683.3333333333334,12.35,60
Virix,Sentus,2000,B,0.5333333333333333,1.95,1.4833333333333334,604.1666666666666,706.6666666666666,14.383333333333333,60
Virix,Sentus,2000,alternate,0.5,1.75,1.3333333333333333,525.8333333333334,753.3333333333334,13.9,60
Ertrian,Sentus,3000,A,0.6,1.2166666666666666,0.7,655.8333333333334,626.6666666666666,8.566666666666666,60
Ertrian,Sentus,3000,B,0.43333333333333335,0.6833333333333333,1.9,414.1666666666667,1173.0,10.15,60
Ertrian,Sentus,3000,alternate,0.5666666666666667,0.9,1.0833333333333333,625.0,714.0,8.833333333333334,60
Ertrian,Virix,3000,A,0.6833333333333333,2.5,1.0833333333333333,978.3333333333334,406.6666666666667,9.4,60
Ertrian,Virix,3000,B,0.4166666666666667,0.9833333333333333,2.283333333333333,485.0,693.3333333333334,11.166666666666666,60
Ertrian,Virix,3000,alternate,0.4666666666666667,1.4333333333333333,1.9,596.6666666666666,667.1666666666666,9.95,60
Sentus,Ertrian,3000,A,0.55,1.6166666666666667,0.6666666666666666,1135.6666666666667,451.6666666666667,10.283333333333333,60
Sentus,Ertrian,3000,B,0.3333333333333333,0.6333333333333333,1.3333333333333333,594.0,661.6666666666666,8.166666666666666,60
Sentus,Ertrian,3000,alternate,0.43333333333333335,1.1,1.0833333333333333,707.3333333333334,525.8333333333334,9.5,60
Sentus,Virix,3000,A,0.45,2.316666666666667,1.8833333333333333,1320.0,708.3333333333334,18.166666666666668,60
Sentus,Virix,3000,B,0.3,1.3,2.55,743.3333333333334,881.6666666666666,15.9,60
Sentus,Virix,3000,alternate,0.4166666666666667,2.183333333333333,2.6,1106.6666666666667,940.8333333333334,16.183333333333334,60
Virix,Ertrian,3000,A,0.5,2.0166666666666666,1.7,632.5,691.6666666666666,12.5,60
Virix,Ertrian,3000,B,0.26666666666666666,0.8333333333333334,2.5,311.6666666666667,926.6666666666666,11.533333333333333,60
Virix,Ertrian,3000,alternate,0.5166666666666667,1.55,1.5666666666666667,608.5,585.0,13.233333333333333,60
Virix,Sentus,3000,A,0.6666666666666666,2.75,1.7666666666666666,1073.3333333333333,1003.3333333333334,15.416666666666666,60
Virix,Sentus,3000,B,0.5416666666666666,1.8833333333333333,1.85,725.0,1010.0,13.6,60
Virix,Sentus,3000,alternate,0.5333333333333333,2.5,1.8333333333333333,838.3333333333334,1083.3333333333333,16.45,60
Ertrian,Sentus,5000,A,0.6166666666666667,1.7833333333333334,1.3833333333333333,1144.1666666666667,1255.1666666666667,10.916666666666666,60
